dataset,model,K,seed,fin_test_acc_WA,fin_test_hinge_WA,fin_sparsity_WA,L1_WA,fin_test_acc_WA_VZ,fin_test_hinge_WA_VZ,fin_sparsity_WA_VZ,L1_WA_VZ,fin_test_acc_SA,fin_test_hinge_SA,fin_sparsity_SA,L1_SA,fin_test_acc_SA_VZ,fin_test_hinge_SA_VZ,fin_sparsity_SA_VZ,L1_SA_VZ,L1_inst
news20_binary_sparse,PAC,64,4,0.9427092032737598,0.1742407180880077,0.4660313815311778,0.005700363924792734,0.9423751461499916,0.175349554346833,0.5310155313785796,0.006898361885892358,0.9423751461499916,0.1747845300989415,0.4660313815311778,0.0025169476394256763,0.9418740604643394,0.1759139814744637,0.5310155313785796,0.003740452425246494,0.06440390962026922
newsgroups_binary_sparse,PAC,16,0,0.8582089552238806,0.51202367064308,0.2571532588161209,0.04075635654997672,0.8582089552238806,0.5120441820443391,0.3957710170025189,0.041687268064482814,0.8569348380050965,0.5158044713161258,0.2571532588161209,0.03949944489420388,0.8569348380050965,0.5158220471753786,0.3957710170025189,0.04031806747116255,0.03913993918286252
newsgroups_binary_sparse,PAC,16,1,0.8128867855842737,0.5498396116001995,0.224555258186398,0.08757269350372276,0.8128867855842737,0.5498801132241559,0.3499881926952141,0.08825004935279919,0.8068802329814343,0.5571767471682321,0.224555258186398,0.08330118609718065,0.8068802329814343,0.5572143565035721,0.3499881926952141,0.08331748610424397,0.03282006422202783
newsgroups_binary_sparse,PAC,16,2,0.8421914816163087,0.5512457955254161,0.3421953715365239,0.03047920209654315,0.8421914816163087,0.5512899260483376,0.4697929785894207,0.03263080302890356,0.843829632326174,0.5564007800287805,0.3421953715365239,0.035714221031718,0.843829632326174,0.556438767585543,0.4697929785894207,0.0358346599727971,0.03165280260510336
newsgroups_binary_sparse,PAC,16,3,0.841645431379687,0.5270845779342448,0.2839656801007556,0.06788047385931646,0.841645431379687,0.5270995277304754,0.349663491813602,0.06799004612902,0.8423734983618493,0.527349330983511,0.2839656801007556,0.06133602102338691,0.8423734983618493,0.527364373346311,0.349663491813602,0.06137586548509729,0.0329903087402449
newsgroups_binary_sparse,PAC,16,4,0.8598471059337459,0.5107600775027427,0.2214656801007556,0.023524532416186295,0.8596650891882053,0.5107781470492737,0.2795871379093199,0.024853888547796178,0.8587550054605023,0.5097121821414871,0.2214656801007556,0.026570822625134275,0.8585729887149618,0.5097305616593698,0.2795871379093199,0.027137700648559186,0.03465290946070523
newsgroups_binary_sparse,PAC,1,0,0.8603931561703677,0.4711703516875548,0.2571532588161209,0.16621298313673713,0.8603931561703677,0.4711703516875548,0.2571532588161209,0.16621298313673713,0.8603931561703677,0.4711703516875548,0.2571532588161209,0.16621298313673713,0.8603931561703677,0.4711703516875548,0.2571532588161209,0.16621298313673713,0.03913993918286252
newsgroups_binary_sparse,PAC,1,1,0.7360757189661449,0.647064473843426,0.4037606265743073,0.1792421221160307,0.7360757189661449,0.647064473843426,0.4037606265743073,0.1792421221160307,0.7360757189661449,0.647064473843426,0.4037606265743073,0.1792421221160307,0.7360757189661449,0.647064473843426,0.4037606265743073,0.1792421221160307,0.03282006422202783
newsgroups_binary_sparse,PAC,1,2,0.7051328722242446,0.6299418587889113,0.5511453085642317,0.17267321926950616,0.7051328722242446,0.6299418587889113,0.5511453085642317,0.17267321926950616,0.7051328722242446,0.6299418587889113,0.5511453085642317,0.17267321926950616,0.7051328722242446,0.6299418587889113,0.5511453085642317,0.17267321926950616,0.03165280260510336
newsgroups_binary_sparse,PAC,1,3,0.7677466326902075,0.6126650361395088,0.5901192537783375,0.12958867837731622,0.7677466326902075,0.6126650361395088,0.5901192537783375,0.12958867837731622,0.7677466326902075,0.6126650361395088,0.5901192537783375,0.12958867837731622,0.7677466326902075,0.6126650361395088,0.5901192537783375,0.12958867837731622,0.0329903087402449
