dataset,model,seed,fin_test_acc_inst,fin_test_hinge_inst,fin_sparsity_inst,L1_inst
w8a_binary_sparse,PAC,3,0.9819961741870148,0.0591183114686038,0.0,0.005761112296064386
w8a_binary_sparse,PAC,4,0.9828401035219984,0.0599362197075205,0.0,0.008468683923692
webspam_binary_sparse,PAC,0,0.9113627489262008,0.2539219885169216,0.4980392156862745,0.014534521609152102
webspam_binary_sparse,PAC,1,0.9207817068408872,0.2407341278547418,0.4980392156862745,0.017839488948719322
webspam_binary_sparse,PAC,2,0.9225816896981932,0.2407772397857625,0.4980392156862745,0.01818456976552836
webspam_binary_sparse,PAC,3,0.9104008533252064,0.2572883513294652,0.4980392156862745,0.016317541822984758
webspam_binary_sparse,PAC,4,0.9163531775887848,0.2407663270307858,0.4980392156862745,0.015796580188930685
avazu-app_binary_sparse,FSOL,0,0.8810066679729481,5.141950998402698,0.999944000056,0.09915211436860924
avazu-app_binary_sparse,FSOL,1,0.845692536976671,2.041825336309316,0.999941000059,0.08983178635012982
avazu-app_binary_sparse,FSOL,2,0.8813807394740436,6.328176644358297,0.999945000055,0.06730792664348315
avazu-app_binary_sparse,FSOL,3,0.8616328243859906,2.082890894639468,0.999936000064,0.06218890702380906
avazu-app_binary_sparse,FSOL,4,0.8811402649376251,4.867673832875092,0.99994000006,0.07351639352180123
avazu-site_binary_sparse,FSOL,0,0.7141690115510637,0.7102339670566488,0.9797710202289798,0.00499664879042687
avazu-site_binary_sparse,FSOL,1,0.8069402384485169,0.4827138255772458,0.9797600202399798,0.004059948145393119
avazu-site_binary_sparse,FSOL,2,0.806996368574407,0.4514003035868503,0.9796870203129796,0.0047485354664098195
avazu-site_binary_sparse,FSOL,3,0.8049527158529153,0.4692061667042487,0.9797390202609796,0.003948278500530106
avazu-site_binary_sparse,FSOL,4,0.8069630776031894,0.4699741266965329,0.9797530202469796,0.003211641455002278
criteo_binary_sparse,FSOL,0,0.7921270690722787,0.4966273661426094,0.4075105924894074,0.007034844421211899
criteo_binary_sparse,FSOL,1,0.773894998890447,0.5381193670615464,0.4071525928474071,0.006130755607457937
criteo_binary_sparse,FSOL,2,0.7815294562239243,0.5202569997567714,0.4074195925804074,0.007926451654263245
criteo_binary_sparse,FSOL,3,0.7902547063487892,0.5249427716425682,0.4072215927784072,0.00637063503765778
criteo_binary_sparse,FSOL,4,0.7910723833340636,0.4909840000331466,0.4067085932914067,0.007281024893701949
dexter_binary_sparse,FSOL,0,0.9333333333333332,693.3034722222222,0.9237538123093844,0.050158730158730166
dexter_binary_sparse,FSOL,1,0.8666666666666667,2314.198611111111,0.9149542522873856,0.06103174603174605
dexter_binary_sparse,FSOL,2,0.8277777777777777,2147.4402777777777,0.9173041347932605,0.06232804232804233
dexter_binary_sparse,FSOL,3,0.8388888888888889,2706.393055555556,0.9131043447827608,0.06037037037037035
dexter_binary_sparse,FSOL,4,0.85,2529.5756944444443,0.905204739763012,0.05693121693121692
dorothea_binary_sparse,FSOL,0,0.9217391304347826,54.98840579710145,0.999930000699993,0.026101377172110467
dorothea_binary_sparse,FSOL,1,0.9246376811594202,86.15072463768117,0.999860001399986,0.05794217319201093
dorothea_binary_sparse,FSOL,2,0.9391304347826088,35.678260869565214,0.999910000899991,0.08711514889321512
dorothea_binary_sparse,FSOL,3,0.944927536231884,47.54492753623188,0.999910000899991,0.06143197058187324
