dataset,model,weight_scheme,K,seed,fin_test_acc_WA,fin_test_hinge_WA,fin_sparsity_WA,L1_WA,fin_test_acc_WA_VZ,fin_test_hinge_WA_VZ,fin_sparsity_WA_VZ,L1_WA_VZ,fin_test_acc_SA,fin_test_hinge_SA,fin_sparsity_SA,L1_SA,fin_test_acc_SA_VZ,fin_test_hinge_SA_VZ,fin_sparsity_SA_VZ,L1_SA_VZ,L1_inst
avazu-site_binary_sparse,FSOL,exp-dense,4,0,0.806562166566084,0.46995837596745,0.9854400145599854,0.0008842027516852991,0.8065622956008562,0.4699599051999564,0.986137013862986,0.0008840897660141175,0.806360614251968,0.4841482171844335,0.9856140143859856,0.0010826704285862073,0.8063604852171958,0.4841523136802401,0.9863110136889864,0.0010827911178258763,0.00499664879042687
avazu-site_binary_sparse,FSOL,exp-dense,4,1,0.8043416071719591,0.5224812323357002,0.9873340126659872,0.0029677837106103816,0.8043414781371869,0.52248098084522,0.9893060106939892,0.0029679076096702553,0.804750905469255,0.4936123939340537,0.9876100123899876,0.002565079025975565,0.80475180871266,0.4936062709366581,0.9895820104179897,0.0025642181521971738,0.004059948145393119
avazu-site_binary_sparse,FSOL,exp-dense,4,2,0.805679310654956,0.4896586742026556,0.9856330143669856,0.0017522646014975659,0.8056794396897281,0.4896594314123248,0.9866030133969866,0.0017522016890216558,0.8059735099354839,0.4973436527689848,0.985871014128986,0.0014860555951040572,0.8059733809007117,0.497340231056381,0.9868410131589868,0.001486192333444744,0.0047485354664098195
avazu-site_binary_sparse,FSOL,exp-dense,4,3,0.8057580218659744,0.5120385832078533,0.9837840162159838,0.0019094880146818785,0.8057602154571012,0.5118681690479726,0.9851940148059852,0.0019074536306372077,0.8053137551454228,0.528176814523765,0.984008015991984,0.002320711562135562,0.805312335762929,0.5280812481557146,0.9854180145819854,0.0023220481312680842,0.003948278500530106
avazu-site_binary_sparse,FSOL,exp-dense,4,4,0.8056150513384196,0.4984155244954315,0.9868160131839868,0.0018473747839333069,0.8056159545818248,0.4983969139999748,0.9882950117049883,0.0018465222556873352,0.8055910508707976,0.4975211541403736,0.986959013040987,0.0018932431146344028,0.8055916960446584,0.4975090993995174,0.9884380115619884,0.0018926525077170725,0.003211641455002278
avazu-site_binary_sparse,FSOL,exp-dense,64,0,0.8038445652295935,0.5643943785753844,0.978047021952978,0.0021406958576536774,0.8038445652295935,0.5643947586769116,0.9805720194279806,0.0021407594120936902,0.8065591987663243,0.5112582110376908,0.978058021941978,0.0009996760334888945,0.80655894069678,0.5112584397915778,0.9805770194229806,0.0009996413674307003,0.00499664879042687
avazu-site_binary_sparse,FSOL,exp-dense,64,1,0.8055356949535404,0.4936870598978019,0.9785410214589786,0.0016814334990775859,0.8055354368839961,0.493687617274147,0.9816790183209816,0.001681477152632339,0.8060398338083749,0.5038076960893774,0.9785550214449784,0.0011866108264003672,0.8060397047736026,0.5038080230710348,0.9816820183179816,0.0011866846522650364,0.004059948145393119
avazu-site_binary_sparse,FSOL,exp-dense,64,2,0.8071126289041245,0.4960324599210681,0.9785440214559784,0.0006541908877211238,0.8071126289041245,0.4960328665594546,0.9811680188319812,0.0006542807626868113,0.8068752049233475,0.4989709557726612,0.9785500214499786,0.0006997311747975264,0.8068753339581197,0.4989713250718877,0.9811690188309812,0.0006997388783660065,0.0047485354664098195
avazu-site_binary_sparse,FSOL,exp-dense,64,3,0.8059058957148714,0.5304700086352082,0.978146021853978,0.0015345418551628042,0.8059057666800992,0.5304699742599199,0.9806180193819806,0.0015345380033785605,0.8064028086224648,0.5099107561489845,0.9781560218439782,0.001011042006827761,0.8064026795876926,0.5099108955545986,0.9806230193769806,0.0010110323773671584,0.003948278500530106
avazu-site_binary_sparse,FSOL,exp-dense,64,4,0.8066373938382542,0.5129402587304721,0.9783030216969784,0.001767923388376021,0.8066373938382542,0.5129404822419054,0.9811990188009811,0.0017679818071037248,0.8063180327771547,0.5096201434097631,0.9783140216859784,0.0013323398734376483,0.806318161811927,0.5096203061324498,0.9812010187989813,0.0013323726136037091,0.003211641455002278
criteo_binary_sparse,FSOL,dense,16,0,0.7925568201019401,0.4928005831613839,0.346971653028347,0.0036060392280857097,0.79255624187511,0.4928008623721383,0.3958016041983958,0.0036066701953398565,0.7948530230919382,0.4772114950190217,0.349038650961349,0.0011906428798967247,0.7948529588445126,0.4772116992675013,0.3968686031313968,0.0011909187282960756,0.007034844421211899
criteo_binary_sparse,FSOL,dense,16,1,0.7964937738462351,0.4684536233416036,0.3484286515713484,-0.0011422620113283666,0.7964942235782141,0.4684537204845626,0.3979076020923979,-0.0011416789899142074,0.7967555178580217,0.4674261715140958,0.3505546494453505,-0.002087309997260668,0.7967555821054473,0.4674264837662633,0.3988276011723988,-0.002086929307291218,0.006130755607457937
criteo_binary_sparse,FSOL,dense,16,2,0.7929429471296371,0.4880350262751415,0.346030653969346,0.0014368997460917979,0.7929426258925092,0.4880352171435142,0.3926346073653927,0.0014371676035178024,0.7953980340030785,0.4739202953396287,0.3486176513823485,-0.0012932882108768603,0.7953985479824831,0.4739205409647549,0.3941266058733941,-0.0012923759613614986,0.007926451654263245
criteo_binary_sparse,FSOL,dense,16,3,0.7925180146568936,0.4939116416114545,0.3463616536383463,0.0018157156724696354,0.7925174364300636,0.4939118073910291,0.3912606087393913,0.0018160966820780018,0.7940923978205732,0.482574941948112,0.3487556512443487,-0.00042690848062840745,0.7940920765834453,0.4825751544981766,0.3924496075503925,-0.0004262803901246617,0.00637063503765778
criteo_binary_sparse,FSOL,dense,16,4,0.7965345067140487,0.4703087534513585,0.3462846537153463,-0.0009699632014974933,0.7965333502603884,0.4703086610534058,0.3856886143113857,-0.000969607123725912,0.7976082739376592,0.4664603428207111,0.3483016516983482,-0.001743825999642175,0.7976089806593405,0.4664603842522382,0.3865786134213865,-0.0017433564500492981,0.007281024893701949
criteo_binary_sparse,FSOL,dense,1,0,0.777751193620796,0.5261773246132807,0.4270715729284271,0.008624232075693685,0.777751193620796,0.5261773246132807,0.4270715729284271,0.008624232075693685,0.777751193620796,0.5261773246132807,0.4270715729284271,0.008624232075693685,0.777751193620796,0.5261773246132807,0.4270715729284271,0.008624232075693685,0.007034844421211899
criteo_binary_sparse,FSOL,dense,1,1,0.7782554074166971,0.5261928344477452,0.426994573005427,0.00854785754899452,0.7782554074166971,0.5261928344477452,0.426994573005427,0.00854785754899452,0.7782554074166971,0.5261928344477452,0.426994573005427,0.00854785754899452,0.7782554074166971,0.5261928344477452,0.426994573005427,0.00854785754899452,0.006130755607457937
criteo_binary_sparse,FSOL,dense,1,2,0.7921890035905316,0.4981109535785611,0.4268555731444269,0.006348558855097249,0.7921890035905316,0.4981109535785611,0.4268555731444269,0.006348558855097249,0.7921890035905316,0.4981109535785611,0.4268555731444269,0.006348558855097249,0.7921890035905316,0.4981109535785611,0.4268555731444269,0.006348558855097249,0.007926451654263245
criteo_binary_sparse,FSOL,dense,1,3,0.7848900463133992,0.5641086214386637,0.4269215730784269,0.005263227734161449,0.7848900463133992,0.5641086214386637,0.4269215730784269,0.005263227734161449,0.7848900463133992,0.5641086214386637,0.4269215730784269,0.005263227734161449,0.7848900463133992,0.5641086214386637,0.4269215730784269,0.005263227734161449,0.00637063503765778
criteo_binary_sparse,FSOL,dense,1,4,0.7913244902320141,0.4900981272387602,0.5395624604375395,0.002159253049790005,0.7913244902320141,0.4900981272387602,0.5395624604375395,0.002159253049790005,0.7913244902320141,0.4900981272387602,0.5395624604375395,0.002159253049790005,0.7913244902320141,0.4900981272387602,0.5395624604375395,0.002159253049790005,0.007281024893701949
criteo_binary_sparse,FSOL,dense,4,0,0.7899990015950066,0.5174107905604383,0.3539276460723539,0.003624664908362314,0.7899993228321345,0.5174116463334697,0.3792676207323793,0.0036252412173588783,0.792793957349732,0.4946571211126211,0.3632866367133632,0.000893737306902253,0.7927931221331995,0.4946580598124719,0.3886266113733886,0.0008944756728379439,0.007034844421211899
criteo_binary_sparse,FSOL,dense,4,1,0.7932687458247204,0.4829677171839323,0.3560896439103561,-0.0006045542105338696,0.7932707374949132,0.4829671548294887,0.3867796132203868,-0.0006039504125890529,0.795845838559326,0.4741332217901349,0.3673696326303673,-0.0014809172235829982,0.7958473804975398,0.4741336460831845,0.398059601940398,-0.0014806372198775133,0.006130755607457937
criteo_binary_sparse,FSOL,dense,4,2,0.7904097353866982,0.5039325806498934,0.3527456472543527,0.004706339359902281,0.7904092856547191,0.5039323535596937,0.39002660997339,0.004706911513592745,0.7886025838001658,0.5193333734323685,0.3652726347273652,0.00045957398140692617,0.7886034190166983,0.5193336890620264,0.4025535974464025,0.0004596864943113871,0.007926451654263245
criteo_binary_sparse,FSOL,dense,4,3,0.790966567824144,0.506107123217945,0.3521296478703521,0.0018687936351613752,0.790966567824144,0.5061066353874645,0.3825136174863824,0.0018696694458383394,0.7918687944214732,0.4986529982043809,0.361091638908361,0.00030542810587044214,0.7918680876997918,0.4986529874518191,0.3914756085243914,0.00030611916524400553,0.00637063503765778
criteo_binary_sparse,FSOL,dense,4,4,0.7965412526937339,0.4713189517279654,0.3562766437233563,-0.0011532307409601369,0.7965408672091805,0.47131862761828,0.377934622065378,-0.001152990052843437,0.7969256450409404,0.4700176122392821,0.3688846311153688,-0.0007211559362543998,0.7969264160100473,0.4700176842293564,0.3905426094573905,-0.0007211898179813119,0.007281024893701949
criteo_binary_sparse,FSOL,dense,64,0,0.7921949143536844,0.4945752188665288,0.3448736551263448,0.002433720289312645,0.7921952998382378,0.4945753570121746,0.3975736024263976,0.0024342534470532255,0.7942972186133016,0.4801050735258871,0.3454116545883454,0.000620662094933662,0.7942968973761737,0.4801052881209359,0.3977676022323978,0.0006210638810726935,0.007034844421211899
criteo_binary_sparse,FSOL,dense,64,1,0.7934476106575171,0.4854365298916652,0.3451556548443452,-3.5910475228393645e-05,0.7934474179152404,0.4854367450641657,0.4042115957884042,-3.527471339025594e-05,0.795754093235607,0.4721461099175787,0.3457056542943457,-0.0016251782651102347,0.7957544787201605,0.4721465610094472,0.4043835956164043,-0.0016244312689233495,0.006130755607457937
criteo_binary_sparse,FSOL,dense,64,2,0.7940564192622519,0.4825620076280923,0.3448266551733449,0.0012069240085982645,0.7940558410354218,0.4825622402773446,0.398990601009399,0.0012071643770760292,0.7951986099940982,0.4762077121413953,0.3454236545763454,-0.0008660271685051347,0.795198802736375,0.4762079692079413,0.3991966008033992,-0.0008652709027891705,0.007926451654263245
criteo_binary_sparse,FSOL,dense,64,3,0.7925349117298195,0.4917954596123107,0.3449266550733449,0.0015272057356946092,0.7925345262452661,0.4917957859132369,0.395045604954395,0.001527780126857567,0.7946438334742708,0.4780788028791456,0.3454366545633455,-0.0005765784521832851,0.7946435764845685,0.478079165743567,0.3952276047723952,-0.000576000225353128,0.00637063503765778
criteo_binary_sparse,FSOL,dense,64,4,0.793827569932359,0.4843718204925573,0.3447056552943447,0.0004066539203482178,0.7938278269220613,0.4843723434206659,0.4076955923044076,0.00040691826174596944,0.795520746585924,0.4740608227252035,0.3452676547323452,-0.0013032836399569806,0.795519525884838,0.4740615559209758,0.4078455921544078,-0.0013024321218389377,0.007281024893701949
criteo_binary_sparse,FSOL,exp-dense,16,0,0.7833042913553933,0.6069733064583637,0.3492336507663492,0.008781134197751183,0.783304162860542,0.6069739837689311,0.3998206001793998,0.008781423470985742,0.7824717089673858,0.5929541613215771,0.3520976479023521,0.010713065791748943,0.7824715162251091,0.5929542296224046,0.4020715979284021,0.010713297849614447,0.007034844421211899
criteo_binary_sparse,FSOL,exp-dense,16,1,0.7810896825958735,0.607600627827637,0.3461286538713461,0.010697270194586921,0.7810894898535968,0.6076006313210546,0.404050595949404,0.010697477640254572,0.7834151181645076,0.5771453069271796,0.3489056510943489,0.00917800365071517,0.783415053917082,0.5771455731472902,0.4051735948264051,0.009178061505362078,0.006130755607457937
criteo_binary_sparse,FSOL,exp-dense,16,2,0.7869394749417693,0.5514247605336114,0.3461356538643461,0.010942715497530578,0.7869390894572159,0.5514246881190284,0.3976786023213977,0.010943175777594395,0.783137119554051,0.5868322083516982,0.3486846513153486,0.009997723448411577,0.7831370553066254,0.5868322650797989,0.3987406012593987,0.009998161993027945,0.007926451654263245
criteo_binary_sparse,FSOL,exp-dense,16,3,0.7834809717757205,0.5850923429069946,0.3467206532793467,0.008939327661098813,0.7834807147860182,0.5850923744733239,0.3965546034453965,0.008941119556958357,0.7844732732637036,0.5678036197821807,0.3494536505463494,0.010443485192237052,0.7844736587482571,0.5678037647901235,0.3976186023813975,0.010444537123966209,0.00637063503765778
