model,dataset,log2eta,log10lmbda,seed,final_test-set-acc,l1-regret,l2-regret
FSOL,avazu-app_binary_sparse,-1.0,0.0,0,0.8827443419972678,0.007094247545106877,0.03466673554207006
FSOL,avazu-app_binary_sparse,-1.0,0.0,1,0.8831419356989816,0.004738488865185352,0.01361820728438922
FSOL,avazu-app_binary_sparse,-1.0,0.0,2,0.8833878911365151,0.005114172529026282,0.021332753924366923
FSOL,avazu-app_binary_sparse,-1.0,0.0,3,0.8832344259052964,0.0051636069106583745,0.026937797856248006
FSOL,avazu-app_binary_sparse,-1.0,0.0,4,0.8827566740247764,0.005105203884524448,0.015350894627675521
FSOL,avazu-app_binary_sparse,-1.0,1.0,0,0.8831535826138509,0.003486776767569009,0.018505916279345985
FSOL,avazu-app_binary_sparse,-1.0,1.0,1,0.8831926340342949,0.001777005820893346,0.005083182321203752
FSOL,avazu-app_binary_sparse,-1.0,1.0,2,0.883429226265757,0.0034013671890765823,0.019072195116730997
FSOL,avazu-app_binary_sparse,-1.0,1.0,3,0.8832901483999651,0.0029424219896719093,0.02220704815700874
FSOL,avazu-app_binary_sparse,-1.0,1.0,4,0.8832312287129793,0.003477165971286368,0.017729410508353725
FSOL,avazu-app_binary_sparse,-1.0,2.0,0,0.8827532484615795,0.0014711143329041805,0.00577189089584618
FSOL,avazu-app_binary_sparse,-1.0,2.0,1,0.8828142234864834,0.00209186369228654,0.009975659554461056
FSOL,avazu-app_binary_sparse,-1.0,2.0,2,0.8830750230312032,0.004360464965101014,0.04511642460154663
FSOL,avazu-app_binary_sparse,-1.0,2.0,3,0.8827904729149852,0.0023714563515347875,0.01645733699317035
FSOL,avazu-app_binary_sparse,-1.0,2.0,4,0.8828432265882167,0.0014465859437560564,0.00829638380154838
FSOL,avazu-app_binary_sparse,-1.0,3.0,0,0.8818411351676996,0.004171482409330513,0.04466583641171214
FSOL,avazu-app_binary_sparse,-1.0,3.0,1,0.8820208630500941,0.0004550301085298461,0.003355920264435673
FSOL,avazu-app_binary_sparse,-1.0,3.0,2,0.8822259401001452,0.00026222968909077945,0.0021961875055239066
FSOL,avazu-app_binary_sparse,-1.0,3.0,3,0.8819409332421677,0.0026300332370978643,0.03397734248369551
FSOL,avazu-app_binary_sparse,-1.0,3.0,4,0.88193842116249,0.0007418334087251306,0.005903183544553001
FSOL,avazu-app_binary_sparse,-2.0,-1.0,0,0.883105624729095,0.000801032341291604,0.00645592190089383
FSOL,avazu-app_binary_sparse,-2.0,-1.0,1,0.8831967447101311,0.00039437615951641537,0.0012278499502823283
FSOL,avazu-app_binary_sparse,-2.0,-1.0,2,0.8835166923127165,0.0004336197732751096,0.002023414998661935
FSOL,avazu-app_binary_sparse,-2.0,-1.0,3,0.8834070742904174,0.00028637821380516905,0.0015457960404836166
FSOL,avazu-app_binary_sparse,-2.0,-1.0,4,0.8832801000812543,0.0002691056875604843,0.0008238309226614255
FSOL,avazu-app_binary_sparse,-2.0,-2.0,0,0.8831398803610635,0.0007447581387549123,0.0051554128643381105
FSOL,avazu-app_binary_sparse,-2.0,-2.0,1,0.8833093315538675,0.0003486409339173276,0.0010571806553451059
FSOL,avazu-app_binary_sparse,-2.0,-2.0,2,0.8832798717103746,0.0007515821319747637,0.007138682656903101
FSOL,avazu-app_binary_sparse,-2.0,-2.0,3,0.8833335388671252,0.00034089667388486407,0.001766711602343372
FSOL,avazu-app_binary_sparse,-2.0,-2.0,4,0.8831485584544955,0.00025519202212695956,0.000713050105960544
FSOL,avazu-app_binary_sparse,-2.0,-3.0,0,0.8831003721988598,0.0007374932314602195,0.004801444660202885
FSOL,avazu-app_binary_sparse,-2.0,-3.0,1,0.8831924056634152,0.00037589620703598067,0.001013252002726853
FSOL,avazu-app_binary_sparse,-2.0,-3.0,2,0.8834961389335354,0.0007600793375811856,0.006725725416127747
FSOL,avazu-app_binary_sparse,-2.0,-3.0,3,0.883385835798597,0.00036390899694484653,0.0015904364026393231
FSOL,avazu-app_binary_sparse,-2.0,-3.0,4,0.8831965163392513,0.00029173023234440384,0.0009285035162786329
FSOL,avazu-app_binary_sparse,-2.0,-inf,0,0.8832049660618035,0.0008833102993037228,0.004877212340305133
FSOL,avazu-app_binary_sparse,-2.0,-inf,1,0.8832748475510191,0.0003448411590313052,0.0009450253015630645
FSOL,avazu-app_binary_sparse,-2.0,-inf,2,0.8834721599911575,0.0008724061550682398,0.008683509888771195
FSOL,avazu-app_binary_sparse,-2.0,-inf,3,0.883276217776298,0.0003658591938143581,0.0018049018128905227
FSOL,avazu-app_binary_sparse,-2.0,-inf,4,0.883288093062047,0.0003098868478365772,0.0009872336288344727
FSOL,avazu-app_binary_sparse,-2.0,0.0,0,0.8830983168609418,0.00035003150907644696,0.0026477374649104993
FSOL,avazu-app_binary_sparse,-2.0,0.0,1,0.8832497267542423,0.00021851927658923288,0.0005178071840985799
FSOL,avazu-app_binary_sparse,-2.0,0.0,2,0.8835148653456781,0.00041980220449893313,0.0036447647072606637
FSOL,avazu-app_binary_sparse,-2.0,0.0,3,0.8833572894386232,0.00020837599177006588,0.0008870246484698125
FSOL,avazu-app_binary_sparse,-2.0,0.0,4,0.8832858093532491,0.00016538234727738447,0.0003676546694648869
FSOL,avazu-app_binary_sparse,-2.0,1.0,0,0.8830932927015864,0.00011773875511847964,0.00031257170209196783
FSOL,avazu-app_binary_sparse,-2.0,1.0,1,0.8831933191469343,9.262587218400288e-05,0.0001463834569561163
FSOL,avazu-app_binary_sparse,-2.0,1.0,2,0.8835125816368803,0.00012650729246327925,0.00044368057093145864
FSOL,avazu-app_binary_sparse,-2.0,1.0,3,0.8832848958697299,0.00010882889915998495,0.0005267548932429877
FSOL,avazu-app_binary_sparse,-2.0,1.0,4,0.8832515537212806,9.687334443831182e-05,0.0001564535769249551
FSOL,avazu-app_binary_sparse,-2.0,2.0,0,0.8827098579944195,5.0181674461505423e-05,0.00044480507028223006
FSOL,avazu-app_binary_sparse,-2.0,2.0,1,0.8828662920470755,2.3660127585343434e-05,8.379483557534595e-05
FSOL,avazu-app_binary_sparse,-2.0,2.0,2,0.8830859848334331,2.9692736568289064e-05,0.00013681045933059346
FSOL,avazu-app_binary_sparse,-2.0,2.0,3,0.8828489358602114,2.7511907721194554e-05,8.643889249569129e-05
FSOL,avazu-app_binary_sparse,-2.0,2.0,4,0.8829078555471972,2.8966924168166544e-05,5.9439088967813746e-05
FSOL,avazu-app_binary_sparse,-2.0,3.0,0,0.8818077930192503,9.558791032787947e-06,0.0001046342377163046
FSOL,avazu-app_binary_sparse,-2.0,3.0,1,0.8820208630500941,6.896348350080814e-06,2.922286857619622e-05
FSOL,avazu-app_binary_sparse,-2.0,3.0,2,0.882226168471025,3.53296534328082e-06,1.1009264967187408e-05
FSOL,avazu-app_binary_sparse,-2.0,3.0,3,0.8819407048712878,2.732310605325188e-05,0.00011941247277393978
FSOL,avazu-app_binary_sparse,-2.0,3.0,4,0.8818084781318897,2.2161019730879935e-05,4.8267677453516635e-05
FSOL,avazu-app_binary_sparse,-3.0,-1.0,0,0.8830250098085293,7.327878868974833e-05,9.096407416819065e-05
FSOL,avazu-app_binary_sparse,-3.0,-1.0,1,0.8831524407594519,6.990862238948894e-05,8.588011442033585e-05
FSOL,avazu-app_binary_sparse,-3.0,-1.0,2,0.8834461257108615,9.80547680491054e-05,0.00012586956709598277
FSOL,avazu-app_binary_sparse,-3.0,-1.0,3,0.8831823573447044,7.562919987332147e-05,9.529061131470437e-05
FSOL,avazu-app_binary_sparse,-3.0,-1.0,4,0.8832090767376398,6.0484366676970775e-05,8.052458617451959e-05
FSOL,avazu-app_binary_sparse,-3.0,-2.0,0,0.8830268367755676,8.597372239844461e-05,0.00010956455078111262
FSOL,avazu-app_binary_sparse,-3.0,-2.0,1,0.8831492435671349,7.690445904362464e-05,9.154047603204134e-05
FSOL,avazu-app_binary_sparse,-3.0,-2.0,2,0.8834331085707134,9.580723681629266e-05,0.0001268597077592601
FSOL,avazu-app_binary_sparse,-3.0,-2.0,3,0.8831896652128577,8.267704177732712e-05,0.00010106213577601518
FSOL,avazu-app_binary_sparse,-3.0,-2.0,4,0.8832058795453227,5.993491990677253e-05,7.741241882218726e-05
FSOL,avazu-app_binary_sparse,-3.0,-3.0,0,0.8830266084046878,9.154958962181497e-05,0.00011322208271865829
FSOL,avazu-app_binary_sparse,-3.0,-3.0,1,0.8831506137924137,7.364734763435377e-05,9.098426368124379e-05
FSOL,avazu-app_binary_sparse,-3.0,-3.0,2,0.883411870078893,9.104423425911592e-05,0.00012066241517373636
FSOL,avazu-app_binary_sparse,-3.0,-3.0,3,0.8831940042595736,8.049169073456682e-05,9.647679085487218e-05
FSOL,avazu-app_binary_sparse,-3.0,-3.0,4,0.8832072497706015,7.67687931744556e-05,9.314986150025086e-05
FSOL,avazu-app_binary_sparse,-3.0,-inf,0,0.883025238179409,8.461819425553465e-05,0.00010970362442210327
FSOL,avazu-app_binary_sparse,-3.0,-inf,1,0.8831485584544955,7.161688179225899e-05,8.88255023077454e-05
FSOL,avazu-app_binary_sparse,-3.0,-inf,2,0.8834114133371335,9.69773549380259e-05,0.00012860429317684477
FSOL,avazu-app_binary_sparse,-3.0,-inf,3,0.8831878382458194,9.506672728037847e-05,0.00011382750899953659
FSOL,avazu-app_binary_sparse,-3.0,-inf,4,0.8832070213997216,8.57250016382953e-05,0.00010336727501617042
FSOL,avazu-app_binary_sparse,-3.0,0.0,0,0.8830218126162123,7.245348798554784e-05,9.078199301449645e-05
FSOL,avazu-app_binary_sparse,-3.0,0.0,1,0.8831531258720913,5.7472584381126106e-05,7.089688947431195e-05
FSOL,avazu-app_binary_sparse,-3.0,0.0,2,0.8834294546366368,8.272452483152579e-05,0.00011738169521624905
FSOL,avazu-app_binary_sparse,-3.0,0.0,3,0.8831583784023265,6.566680287972583e-05,8.13667717122565e-05
FSOL,avazu-app_binary_sparse,-3.0,0.0,4,0.8831928624051747,6.755595010807274e-05,8.545204418005493e-05
FSOL,avazu-app_binary_sparse,-3.0,1.0,0,0.8830183870530154,3.828151663642041e-05,5.693361769905607e-05
FSOL,avazu-app_binary_sparse,-3.0,1.0,1,0.8831117907428494,2.7635137552367187e-05,3.7396122940553556e-05
FSOL,avazu-app_binary_sparse,-3.0,1.0,2,0.8834212332849644,3.126306900409096e-05,4.882288118271685e-05
FSOL,avazu-app_binary_sparse,-3.0,1.0,3,0.8831179567566037,3.230430455005189e-05,4.542148893073323e-05
FSOL,avazu-app_binary_sparse,-3.0,1.0,4,0.8831659146413595,3.193235395871841e-05,4.5395666834327734e-05
FSOL,avazu-app_binary_sparse,-3.0,2.0,0,0.8825993264886013,1.1336013919062676e-05,2.5834652372289114e-05
FSOL,avazu-app_binary_sparse,-3.0,2.0,1,0.8827769990330777,1.4339882372528355e-05,4.228441460337055e-05
FSOL,avazu-app_binary_sparse,-3.0,2.0,2,0.8830398539157156,1.7746226237909597e-05,3.299205884093618e-05
FSOL,avazu-app_binary_sparse,-3.0,2.0,3,0.8827740302116405,1.7232957032848048e-05,3.3049855452945285e-05
FSOL,avazu-app_binary_sparse,-3.0,2.0,4,0.8827724316154819,1.3982628917033255e-05,2.4118369771757398e-05
