model,dataset,log10Cerr,seed,final_test-set-acc,l1-regret,l2-regret
PAC,avazu-site_binary_sparse,-1.0,2,0.8043320585988192,0.0276810164971991,0.0594867500755742
PAC,avazu-site_binary_sparse,-1.0,3,0.7755447880339346,0.02472540605195487,0.0504283548215197
PAC,avazu-site_binary_sparse,-1.0,4,0.8016341995824693,0.024845650489959282,0.05609821776910554
PAC,avazu-site_binary_sparse,-2.0,0,0.8053367233348676,0.0010536072418576305,0.0019780070174898433
PAC,avazu-site_binary_sparse,-2.0,1,0.8062180308287297,0.0009224810843296179,0.001733697759479728
PAC,avazu-site_binary_sparse,-2.0,2,0.8068615272374985,0.0009881284828457185,0.001647899301449249
PAC,avazu-site_binary_sparse,-2.0,3,0.807387343934056,0.0008962614741408245,0.0016678690861451429
PAC,avazu-site_binary_sparse,-2.0,4,0.8074552162242129,0.0010564306759811377,0.0021785713116952623
PAC,avazu-site_binary_sparse,-3.0,0,0.8070872090540087,0.00011895856178477066,0.00018976947032479414
PAC,avazu-site_binary_sparse,-3.0,1,0.806945141769859,9.479264858854622e-05,0.00014589982478899563
PAC,avazu-site_binary_sparse,-3.0,2,0.8074014087242216,9.967041849063764e-05,0.00016427511168265338
PAC,avazu-site_binary_sparse,-3.0,3,0.8073637305707505,0.0001069442746817404,0.00017730225577105172
PAC,avazu-site_binary_sparse,-3.0,4,0.807376892117511,9.939893444031472e-05,0.00016132884137917965
PAC,avazu-site_binary_sparse,0.0,0,0.5008415002666503,0.10719877724503578,0.17070166998986344
PAC,avazu-site_binary_sparse,0.0,1,0.7992620243310548,0.11808550676724844,0.18420967499889815
PAC,avazu-site_binary_sparse,0.0,2,0.7928242214783797,0.1056453250678411,0.17171493150384495
PAC,avazu-site_binary_sparse,0.0,3,0.775344397032768,0.09936191359762923,0.16606645241070048
PAC,avazu-site_binary_sparse,0.0,4,0.6756615515992634,0.09399337846440747,0.15916943320369872
PAC,avazu-site_binary_sparse,1.0,0,0.4811652459293077,0.1231297385520826,0.18814314266296914
PAC,avazu-site_binary_sparse,1.0,1,0.7965544877067927,0.135672318286204,0.20189254973388435
PAC,avazu-site_binary_sparse,1.0,2,0.7962103519694383,0.11921902230508996,0.19049877675040172
PAC,avazu-site_binary_sparse,1.0,3,0.7593200848171364,0.1164380591463942,0.18330618130810813
PAC,avazu-site_binary_sparse,1.0,4,0.6328427818400074,0.10622690842105441,0.1748826339981352
PAC,avazu-site_binary_sparse,2.0,0,0.4816669331234712,0.12514041394628309,0.1903505894650718
PAC,avazu-site_binary_sparse,2.0,1,0.7940919881148653,0.13764408139237985,0.20288834716883786
PAC,avazu-site_binary_sparse,2.0,2,0.7941590861963891,0.12092050994403983,0.19152650639078245
PAC,avazu-site_binary_sparse,2.0,3,0.7704603018716881,0.11912803618228018,0.1868340433262183
PAC,avazu-site_binary_sparse,2.0,4,0.6482219201948322,0.10909278859676638,0.1777818112349405
PAC,avazu-site_binary_sparse,3.0,0,0.4673531058476107,0.12553908348331166,0.19085971950991276
PAC,avazu-site_binary_sparse,3.0,1,0.7929086102193733,0.13715434013521735,0.2023546695037779
PAC,avazu-site_binary_sparse,3.0,2,0.7967084261899813,0.12173711927538304,0.1929490405128077
PAC,avazu-site_binary_sparse,3.0,3,0.7700310031847072,0.12048682215844743,0.187419407538792
PAC,avazu-site_binary_sparse,3.0,4,0.6564637581970952,0.10904238390980138,0.17790014366877044
PAC,criteo_binary_sparse,-1.0,0,0.7878483832713581,0.02163449647733462,0.05162037764345407
PAC,criteo_binary_sparse,-1.0,1,0.7161671450744133,0.018741892905208054,0.04365632522911378
PAC,criteo_binary_sparse,-1.0,2,0.7281637456146314,0.018827931658087244,0.039021604220588604
PAC,criteo_binary_sparse,-1.0,3,0.7881149458400627,0.017410545348267352,0.03102087365851343
PAC,criteo_binary_sparse,-1.0,4,0.6527265386712322,0.0178105857602797,0.03489417803380821
PAC,criteo_binary_sparse,-2.0,0,0.794848397277297,0.0016104822654376993,0.0023903354670062917
PAC,criteo_binary_sparse,-2.0,1,0.7958525845390112,0.001509008227592758,0.0026077767844440805
PAC,criteo_binary_sparse,-2.0,2,0.7936409954084935,0.001278046366013387,0.0019018146862636218
PAC,criteo_binary_sparse,-2.0,3,0.7933973691707187,0.0014359760797700058,0.0023918333603674177
PAC,criteo_binary_sparse,-2.0,4,0.7962804081459054,0.0015816205407533479,0.0023095682704818085
PAC,criteo_binary_sparse,-3.0,0,0.7935942232826759,0.0006973911739988421,0.0009360410878824793
PAC,criteo_binary_sparse,-3.0,1,0.793619215531224,0.0006904362311522305,0.000962172574034097
PAC,criteo_binary_sparse,-3.0,2,0.7935914606433763,0.0006777737632961356,0.0009003350155864585
PAC,criteo_binary_sparse,-3.0,3,0.7931747518411063,0.0006724838465528651,0.0009186078577078291
PAC,criteo_binary_sparse,-3.0,4,0.7929828447809182,0.0007282591994778639,0.0009708806231799052
PAC,criteo_binary_sparse,0.0,0,0.680270180983713,0.07672250849765393,0.13420871999228426
PAC,criteo_binary_sparse,0.0,1,0.545751683957148,0.0781106469621229,0.13147770402484493
PAC,criteo_binary_sparse,0.0,2,0.6023665796199713,0.0706816306316703,0.12121220781561597
PAC,criteo_binary_sparse,0.0,3,0.7481694302268461,0.07082092382116213,0.11707309860521803
PAC,criteo_binary_sparse,0.0,4,0.3234920197630221,0.07253172716940669,0.13353252939272164
PAC,criteo_binary_sparse,1.0,0,0.584836476809956,0.09748960525316874,0.1577407629977993
PAC,criteo_binary_sparse,1.0,1,0.5333967112770808,0.09213917061558169,0.14225589803113348
PAC,criteo_binary_sparse,1.0,2,0.5036004899765664,0.08382407573752164,0.13832779979252044
PAC,criteo_binary_sparse,1.0,3,0.6771987685567445,0.09414359265011135,0.14660152562254164
PAC,criteo_binary_sparse,1.0,4,0.2737587943482311,0.09140853616969692,0.15719966373323588
PAC,criteo_binary_sparse,2.0,0,0.6074492577045192,0.09807795327925434,0.15743004442877276
PAC,criteo_binary_sparse,2.0,1,0.5700999163113034,0.09399185486150843,0.1443954853890898
PAC,criteo_binary_sparse,2.0,2,0.4969770943793397,0.08650759783121198,0.14066257092118536
PAC,criteo_binary_sparse,2.0,3,0.6643704208450515,0.09541058209779486,0.14760387953047344
PAC,criteo_binary_sparse,2.0,4,0.2645601691917404,0.09258376248249393,0.15876195431912749
PAC,criteo_binary_sparse,3.0,0,0.6154745321277604,0.09820361551865803,0.15736778666995693
PAC,criteo_binary_sparse,3.0,1,0.5537411083169191,0.09422858563301381,0.14494012033479256
PAC,criteo_binary_sparse,3.0,2,0.4993750010440206,0.08682093538824322,0.14101678384353555
PAC,criteo_binary_sparse,3.0,3,0.6597249464915316,0.09529723469042466,0.1476070040343732
PAC,criteo_binary_sparse,3.0,4,0.2623977293417864,0.09236088212010471,0.15883355942767924
PAC,dexter_binary_sparse,-1.0,0,0.95,0.039362822538178036,0.062075308015282625
PAC,dexter_binary_sparse,-1.0,1,0.9166666666666666,0.03143759873617693,0.05416371293981422
PAC,dexter_binary_sparse,-1.0,2,0.9611111111111112,0.06714060031595583,0.10456772888110115
PAC,dexter_binary_sparse,-1.0,3,0.9277777777777778,0.04686677198525541,0.0663389346520975
PAC,dexter_binary_sparse,-1.0,4,0.9277777777777778,0.04231174302264346,0.06700698638010433
PAC,dexter_binary_sparse,-2.0,0,0.95,0.039362822538178036,0.062075308015282625
PAC,dexter_binary_sparse,-2.0,1,0.9166666666666666,0.03143759873617693,0.05416371293981422
PAC,dexter_binary_sparse,-2.0,2,0.9611111111111112,0.06714060031595583,0.10456772888110115
PAC,dexter_binary_sparse,-2.0,3,0.9277777777777778,0.04686677198525541,0.0663389346520975
PAC,dexter_binary_sparse,-2.0,4,0.9277777777777778,0.04231174302264346,0.06700698638010433
PAC,dexter_binary_sparse,-3.0,0,0.95,0.039362822538178036,0.062075308015282625
PAC,dexter_binary_sparse,-3.0,1,0.9166666666666666,0.03143759873617693,0.05416371293981422
PAC,dexter_binary_sparse,-3.0,2,0.9611111111111112,0.06716692996313854,0.1046005969714443
PAC,dexter_binary_sparse,-3.0,3,0.9277777777777778,0.0462875197472354,0.06545547112274522
PAC,dexter_binary_sparse,-3.0,4,0.9277777777777778,0.04231174302264346,0.06700698638010433
PAC,dexter_binary_sparse,0.0,0,0.95,0.039362822538178036,0.062075308015282625
